"id","b64","type","player","code","num","ok"
"20181",,"jpeg","Hamdy Fathy","EGY","12","False"
"20182",,"jpeg","Mohamed Salah","EGY","17","False"
"20184",,"jpeg","Caglar Soyuncu","TUR","6","False"
"20185",,"png","Ugurcan Cakir","TUR","2","False"
"20186",,"jpeg","Irfan Can Kahveci","TUR","15","False"
"20187",,"jpeg","Anthony Gordon","ENG","15","False"
"20188",,"jpeg","Jordan Pickford","ENG","2","False"
"20189",,"jpeg","Trent Alexander-Arnold","ENG","6","False"
"20190",,"jpeg","Marcus Rashford","ENG","19","False"
"20192",,"jpeg","Jamiro Monteiro","CPV","12","False"
"20193",,"jpeg","Ryan Mendes","CPV","17","False"
